,"Мощность активная потребленная, кВт",Год,Месяц,День,Час,День недели,Праздник ли это
210,4.30026073139721,2022,1,9,19,7,1
211,4.24659403144821,2022,1,9,20,7,1
212,4.1998520669765,2022,1,9,21,7,1
213,4.31757257009043,2022,1,9,22,7,1
214,4.21197035406176,2022,1,9,23,7,1
215,4.21370153793109,2022,1,10,0,7,0
216,4.4751103021987895,2022,1,10,1,1,0
217,4.88713206309756,2022,1,10,2,1,0
218,5.08621820806965,2022,1,10,3,1,0
219,6.3049716520727195,2022,1,10,4,1,0
220,9.29472619439277,2022,1,10,5,1,0
221,10.17936115161659,2022,1,10,6,1,0
222,10.14127510649149,2022,1,10,7,1,0
223,10.4563505707082,2022,1,10,8,1,0
224,9.5509414070525,2022,1,10,9,1,0
225,9.38647893946686,2022,1,10,10,1,0
226,8.191962069634311,2022,1,10,11,1,0
227,7.59989718632598,2022,1,10,12,1,0
228,7.30732711241048,2022,1,10,13,1,0
229,6.81913326126152,2022,1,10,14,1,0
230,6.34998243267511,2022,1,10,15,1,0
231,5.90679936212853,2022,1,10,16,1,0
232,5.10872359837084,2022,1,10,17,1,0
233,4.7590244567676905,2022,1,10,18,1,0
234,4.76421800837565,2022,1,10,19,1,0
235,4.69670183747208,2022,1,10,20,1,0
236,4.77633629546091,2022,1,10,21,1,0
237,4.6967018374720695,2022,1,10,22,1,0
238,4.82654062767127,2022,1,10,23,1,0
239,4.76594919224497,2022,1,11,0,1,0
240,4.95637941787046,2022,1,11,1,2,0
241,5.16758384992781,2022,1,11,2,2,0
242,5.66270243655406,2022,1,11,3,2,0
243,6.4105738681014,2022,1,11,4,2,0
244,8.652456978874099,2022,1,11,5,2,0
245,8.449908466163361,2022,1,11,6,2,0
246,8.47241385646455,2022,1,11,7,2,0
247,8.67842473691394,2022,1,11,8,2,0
248,7.30559592854115,2022,1,11,9,2,0
249,8.02230605044069,2022,1,11,10,2,0
250,7.63625204758176,2022,1,11,11,2,0
251,8.04654262461121,2022,1,11,12,2,0
252,7.67087572496821,2022,1,11,13,2,0
253,6.68063855171571,2022,1,11,14,2,0
254,6.61658474855078,2022,1,11,15,2,0
255,6.163014574788271,2022,1,11,16,2,0
256,4.95637941787046,2022,1,11,17,2,0
257,4.72613196325056,2022,1,11,18,2,0
258,4.70882012455734,2022,1,11,19,2,0
259,4.587637253704759,2022,1,11,20,2,0
260,4.5114651634545595,2022,1,11,21,2,0
261,4.47857266993744,2022,1,11,22,2,0
262,4.52358345053982,2022,1,11,23,2,0
263,4.42663715385775,2022,1,12,0,2,0
264,4.4837662215454,2022,1,12,1,3,0
265,4.79884168576211,2022,1,12,2,3,0
266,5.13815372414932,2022,1,12,3,3,0
267,5.22990646922343,2022,1,12,4,3,0
268,7.3713809155754095,2022,1,12,5,3,0
269,7.06669255457465,2022,1,12,6,3,0
270,6.88664943216509,2022,1,12,7,3,0
271,7.494294970297311,2022,1,12,8,3,0
272,6.4607782003117595,2022,1,12,9,3,0
273,7.36618736396745,2022,1,12,10,3,0
274,7.19306897703519,2022,1,12,11,3,0
275,7.17748832221129,2022,1,12,12,3,0
276,7.28135935437065,2022,1,12,13,3,0
277,6.56291804860178,2022,1,12,14,3,0
278,6.56118686473246,2022,1,12,15,3,0
279,5.69559493007119,2022,1,12,16,3,0
280,4.5478200247103295,2022,1,12,17,3,0
281,4.50800279571592,2022,1,12,18,3,0
282,4.675927631040199,2022,1,12,19,3,0
283,4.5131963473238805,2022,1,12,20,3,0
284,4.5495512085796594,2022,1,12,21,3,0
285,4.6136050117446,2022,1,12,22,3,0
286,4.5374329214944,2022,1,12,23,3,0
287,4.4006693958179195,2022,1,13,0,3,0
288,4.66900289556291,2022,1,13,1,4,0
289,4.89578798244417,2022,1,13,2,4,0
290,5.2229817337461295,2022,1,13,3,4,0
291,5.66097125268474,2022,1,13,4,4,0
292,7.44928418969492,2022,1,13,5,4,0
293,7.5600799573315705,2022,1,13,6,4,0
294,7.676069276576181,2022,1,13,7,4,0
295,7.39907985748457,2022,1,13,8,4,0
296,6.22533719408388,2022,1,13,9,4,0
297,5.8410143750942805,2022,1,13,10,4,0
298,5.6350034946449,2022,1,13,11,4,0
299,5.723293871980349,2022,1,13,12,4,0
300,5.40648722389432,2022,1,13,13,4,0
301,5.299153823996329,2022,1,13,14,4,0
302,5.19874515957561,2022,1,13,15,4,0
303,5.1294978048027104,2022,1,13,16,4,0
304,4.74690616968243,2022,1,13,17,4,0
305,4.6257232988298504,2022,1,13,18,4,0
306,4.72266959551191,2022,1,13,19,4,0
307,4.79018576641549,2022,1,13,20,4,0
308,4.416250050641819,2022,1,13,21,4,0
309,4.47857266993743,2022,1,13,22,4,0
310,4.40759413129521,2022,1,13,23,4,0
311,4.62918566656849,2022,1,14,0,4,0
312,5.00831493395013,2022,1,14,1,5,0
313,5.04293861133659,2022,1,14,2,5,0
314,5.564024956002671,2022,1,14,3,5,0
315,6.70314394201691,2022,1,14,4,5,0
316,8.945027052789609,2022,1,14,5,5,0
317,9.18393042675612,2022,1,14,6,5,0
318,9.1129518881139,2022,1,14,7,5,0
319,9.35704881368838,2022,1,14,8,5,0
320,8.18849970189566,2022,1,14,9,5,0
321,8.71131723043107,2022,1,14,10,5,0
322,8.27332771149247,2022,1,14,11,5,0
323,7.91151028280405,2022,1,14,12,5,0
324,8.14175773742395,2022,1,14,13,5,0
325,7.20864963185909,2022,1,14,14,5,0
326,6.74988590648862,2022,1,14,15,5,0
327,6.32574585850459,2022,1,14,16,5,0
328,4.63264803430714,2022,1,14,17,5,0
329,4.67592763104021,2022,1,14,18,5,0
330,4.59975554079001,2022,1,14,19,5,0
331,4.935605211438579,2022,1,14,20,5,0
332,4.5755189666195,2022,1,14,21,5,0
333,4.7365190664664905,2022,1,14,22,5,0
334,4.6291856665685,2022,1,14,23,5,0
335,4.83000299540992,2022,1,15,0,5,1
336,4.757293272898361,2022,1,15,1,6,1
337,5.202207527314259,2022,1,15,2,6,1
338,5.55536903665606,2022,1,15,3,6,1
339,6.69102565493165,2022,1,15,4,6,1
340,10.08241485493453,2022,1,15,5,6,1
341,10.00104921307637,2022,1,15,6,6,1
342,9.77080175845646,2022,1,15,7,6,1
343,9.942188961519399,2022,1,15,8,6,1
344,9.00388730434658,2022,1,15,9,6,1
345,9.38301657172822,2022,1,15,10,6,1
346,8.72862906912429,2022,1,15,11,6,1
347,8.456833201640649,2022,1,15,12,6,1
348,8.27852126310043,2022,1,15,13,6,1
349,6.7585418258352306,2022,1,15,14,6,1
350,6.869337593471871,2022,1,15,15,6,1
351,6.16128339091895,2022,1,15,16,6,1
352,4.63784158591511,2022,1,15,17,6,1
353,4.70882012455734,2022,1,15,18,6,1
354,4.57898133435814,2022,1,15,19,6,1
355,4.79018576641549,2022,1,15,20,6,1
356,4.646497505261721,2022,1,15,21,6,1
357,4.868089040535,2022,1,15,22,6,1
358,4.65515342460834,2022,1,15,23,6,1
359,4.90790626952943,2022,1,16,0,6,1
360,4.757293272898361,2022,1,16,1,7,1
361,5.25760541113258,2022,1,16,2,7,1
362,5.56056258826403,2022,1,16,3,7,1
363,6.41576741970937,2022,1,16,4,7,1
364,9.256640149267671,2022,1,16,5,7,1
365,9.3743606523816,2022,1,16,6,7,1
366,9.06967229138083,2022,1,16,7,7,1
367,8.887897985101969,2022,1,16,8,7,1
368,7.55834877346225,2022,1,16,9,7,1
369,8.59186554344781,2022,1,16,10,7,1
370,8.131370634208011,2022,1,16,11,7,1
371,7.6172090250192195,2022,1,16,12,7,1
372,7.36445618009812,2022,1,16,13,7,1
373,6.6858321033236905,2022,1,16,14,7,1
374,6.62004711628943,2022,1,16,15,7,1
375,6.03144460071976,2022,1,16,16,7,1
376,4.4249059699884405,2022,1,16,17,7,1
377,4.47337911832946,2022,1,16,18,7,1
378,4.44914254415895,2022,1,16,19,7,1
379,4.540895289233051,2022,1,16,20,7,1
380,4.52012108280117,2022,1,16,21,7,1
381,4.58936843757408,2022,1,16,22,7,1
382,4.38162637325537,2022,1,16,23,7,1
383,4.61879856335256,2022,1,17,0,7,0
384,4.60148672465934,2022,1,17,1,1,0
385,4.91309982113739,2022,1,17,2,1,0
386,5.27318606595649,2022,1,17,3,1,0
387,6.62350948402808,2022,1,17,4,1,0
388,8.796145240027869,2022,1,17,5,1,0
389,9.25317778152902,2022,1,17,6,1,0
390,9.156231484846959,2022,1,17,7,1,0
391,9.27568317183022,2022,1,17,8,1,0
392,8.02576841817934,2022,1,17,9,1,0
393,8.57974725636255,2022,1,17,10,1,0
394,8.37719874365181,2022,1,17,11,1,0
395,7.98075763757695,2022,1,17,12,1,0
396,7.452746557433571,2022,1,17,13,1,0
397,6.65293960980655,2022,1,17,14,1,0
398,6.246111400515749,2022,1,17,15,1,0
399,5.0515945306832,2022,1,17,16,1,0
400,4.32795967330637,2022,1,17,17,1,0
401,4.5287770021477805,2022,1,17,18,1,0
402,4.35738979908486,2022,1,17,19,1,0
403,4.44914254415895,2022,1,17,20,1,0
404,4.42663715385776,2022,1,17,21,1,0
405,4.50107806023862,2022,1,17,22,1,0
406,4.5478200247103295,2022,1,17,23,1,0
407,4.639572769784429,2022,1,18,0,1,0
408,4.58936843757407,2022,1,18,1,2,0
409,4.91483100500672,2022,1,18,2,2,0
410,5.38225064972381,2022,1,18,3,2,0
411,6.4954018776982,2022,1,18,4,2,0
412,10.33516769985561,2022,1,18,5,2,0
413,9.86601687126921,2022,1,18,6,2,0
414,8.9675324430908,2022,1,18,7,2,0
415,9.87467279061582,2022,1,18,8,2,0
416,8.917328110880451,2022,1,18,9,2,0
417,9.49900589097283,2022,1,18,10,2,0
418,9.086984130074061,2022,1,18,11,2,0
419,8.88443561736333,2022,1,18,12,2,0
420,8.61090856601036,2022,1,18,13,2,0
421,6.65813316141452,2022,1,18,14,2,0
422,5.52420772700825,2022,1,18,15,2,0
423,5.314734478820229,2022,1,18,16,2,0
424,4.67592763104021,2022,1,18,17,2,0
425,4.52531463440914,2022,1,18,18,2,0
426,4.61879856335256,2022,1,18,19,2,0
427,4.5495512085796594,2022,1,18,20,2,0
428,4.57205659888085,2022,1,18,21,2,0
429,4.750368537421069,2022,1,18,22,2,0
430,4.58071251822747,2022,1,18,23,2,0
431,4.572056598880851,2022,1,19,0,2,0
432,4.36777690230079,2022,1,19,1,3,0
433,4.97196007269436,2022,1,19,2,3,0
434,4.84212128249517,2022,1,19,3,3,0
435,5.39783130454771,2022,1,19,4,3,0
436,7.33502605431964,2022,1,19,5,3,0
437,7.10304741583042,2022,1,19,6,3,0
438,7.19999371251248,2022,1,19,7,3,0
439,7.2969400091945396,2022,1,19,8,3,0
440,6.40018676488546,2022,1,19,9,3,0
441,7.16017648351806,2022,1,19,10,3,0
442,7.12555280613161,2022,1,19,11,3,0
443,7.17748832221128,2022,1,19,12,3,0
444,6.89357416764239,2022,1,19,13,3,0
445,5.22298173374613,2022,1,19,14,3,0
446,5.20393871118358,2022,1,19,15,3,0
447,5.1139171499788105,2022,1,19,16,3,0
448,4.60148672465933,2022,1,19,17,3,0
449,4.51838989893185,2022,1,19,18,3,0
450,4.698433021341399,2022,1,19,19,3,0
451,4.54089528923305,2022,1,19,20,3,0
452,4.67938999877885,2022,1,19,21,3,0
453,4.613605011744591,2022,1,19,22,3,0
454,4.72786314711988,2022,1,19,23,3,0
455,4.639572769784429,2022,1,20,0,3,0
456,5.0169708532967405,2022,1,20,1,4,0
457,4.9806159920409705,2022,1,20,2,4,0
458,5.44111090128077,2022,1,20,3,4,0
459,5.97604671690144,2022,1,20,4,4,0
460,6.6996815742782605,2022,1,20,5,4,0
461,6.20802535539066,2022,1,20,6,4,0
462,6.105885507100631,2022,1,20,7,4,0
463,6.35344480041376,2022,1,20,8,4,0
